Country Name,Country Code,WGI.VA.2010,Year
Afghanistan,AFG,-1.454594532,2010
Albania,ALB,0.097512696,2010
Algeria,DZA,-1.008794209,2010
American Samoa,ASM,1.021487341,2010
Andorra,ADO,1.359626252,2010
Angola,AGO,-1.139245651,2010
Anguilla,AIA,1.021487341,2010
Antigua and Barbuda,ATG,0.507985131,2010
Argentina,ARG,0.309604138,2010
Armenia,ARM,-0.851710256,2010
Aruba,ABW,1.256617387,2010
Australia,AUS,1.428903554,2010
Austria,AUT,1.440676269,2010
Azerbaijan,AZE,-1.272331561,2010
"Bahamas, The",BHS,0.998521024,2010
Bahrain,BHR,-0.854846263,2010
Bangladesh,BGD,-0.27560594,2010
Barbados,BRB,1.211264968,2010
Belarus,BLR,-1.553724788,2010
Belgium,BEL,1.42778387,2010
Belize,BLZ,0.707811745,2010
Benin,BEN,0.290077979,2010
Bermuda,BMU,1.021487341,2010
Bhutan,BTN,-0.461899994,2010
Bolivia,BOL,-0.088978093,2010
Bosnia and Herzegovina,BIH,-0.116466239,2010
Botswana,BWA,0.432291648,2010
Brazil,BRA,0.499221577,2010
Brunei Darussalam,BRN,-0.695794352,2010
Bulgaria,BGR,0.485637139,2010
Burkina Faso,BFA,-0.240204437,2010
Burundi,BDI,-0.921315531,2010
Cambodia,KHM,-0.872836585,2010
Cameroon,CMR,-1.061796818,2010
Canada,CAN,1.379444766,2010
Cape Verde,CPV,0.854541923,2010
Cayman Islands,CYM,0.549268813,2010
Central African Republic,CAF,-1.123859826,2010
Chad,TCD,-1.383462578,2010
Chile,CHL,1.042662503,2010
China,CHN,-1.649501221,2010
Colombia,COL,-0.185530888,2010
Comoros,COM,-0.399568627,2010
"Congo, Dem. Rep.",ZAR,-1.41737979,2010
"Congo, Rep.",COG,-1.031387753,2010
Cook Islands,COK,-0.302221067,2010
Costa Rica,CRI,1.027426938,2010
Cote d'Ivoire,CIV,-1.117035679,2010
Croatia,HRV,0.441442905,2010
Cuba,CUB,-1.621731306,2010
Cyprus,CYP,1.064023044,2010
Czech Republic,CZE,1.017954078,2010
Denmark,DNK,1.58057155,2010
Djibouti,DJI,-1.140288575,2010
Dominica,DMA,1.012136252,2010
Dominican Republic,DOM,0.052127646,2010
Ecuador,ECU,-0.279020246,2010
"Egypt, Arab Rep.",EGY,-1.204363949,2010
El Salvador,SLV,0.037775842,2010
Equatorial Guinea,GNQ,-1.886507949,2010
Eritrea,ERI,-2.174770341,2010
Estonia,EST,1.127249764,2010
Ethiopia,ETH,-1.31447466,2010
Fiji,FJI,-0.986850509,2010
Finland,FIN,1.53832129,2010
France,FRA,1.225976029,2010
French Guiana,GUF,1.097072387,2010
Gabon,GAB,-0.92350225,2010
"Gambia, The",GMB,-1.104187566,2010
Georgia,GEO,-0.172875472,2010
Germany,DEU,1.345103086,2010
Ghana,GHA,0.493733958,2010
Greece,GRC,0.898248343,2010
Greenland,GRL,1.237274317,2010
Grenada,GRD,0.844558576,2010
Guam,GUM,0.804899826,2010
Guatemala,GTM,-0.354739008,2010
Guinea,GIN,-0.900905153,2010
Guinea-Bissau,GNB,-0.891127955,2010
Guyana,GUY,0.039551971,2010
Haiti,HTI,-0.716290799,2010
Honduras,HND,-0.479126,2010
"Hong Kong SAR, China",HKG,0.583496206,2010
Hungary,HUN,0.917373325,2010
Iceland,ISL,1.39846477,2010
India,IND,0.42402758,2010
Indonesia,IDN,-0.055267442,2010
"Iran, Islamic Rep.",IRN,-1.573818137,2010
Iraq,IRQ,-1.053354056,2010
Ireland,IRL,1.3365868,2010
Israel,ISR,0.625324921,2010
Italy,ITA,0.927387521,2010
Jamaica,JAM,0.43879271,2010
Japan,JPN,1.047643331,2010
Jordan,JOR,-0.832661796,2010
Kazakhstan,KAZ,-1.143416614,2010
Kenya,KEN,-0.23110592,2010
Kiribati,KIR,0.689304906,2010
"Korea, Dem. Rep.",PRK,-2.207824661,2010
"Korea, Rep.",KOR,0.708519291,2010
Kosovo,KSV,-0.173446392,2010
Kuwait,KWT,-0.504442458,2010
Kyrgyz Republic,KGZ,-0.956881952,2010
Lao PDR,LAO,-1.63395358,2010
Latvia,LVA,0.809957737,2010
Lebanon,LBN,-0.330387788,2010
Lesotho,LSO,-0.178135543,2010
Liberia,LBR,-0.22555928,2010
Libya,LBY,-1.911816298,2010
Liechtenstein,LIE,1.56854481,2010
Lithuania,LTU,0.905137463,2010
Luxembourg,LUX,1.560957939,2010
"Macao SAR, China",MAC,0.607779449,2010
"Macedonia, FYR",MKD,0.086776053,2010
Madagascar,MDG,-0.797723696,2010
Malawi,MWI,-0.157530893,2010
Malaysia,MYS,-0.531089895,2010
Maldives,MDV,-0.099634302,2010
Mali,MLI,0.152584794,2010
Malta,MLT,1.145725307,2010
Marshall Islands,MHL,1.067895303,2010
Martinique,MTQ,0.58831231,2010
Mauritania,MRT,-0.892473021,2010
Mauritius,MUS,0.744851743,2010
Mexico,MEX,0.080297413,2010
"Micronesia, Fed. Sts.",FSM,1.012934109,2010
Moldova,MDA,-0.070360643,2010
Monaco,MCO,0.929296915,2010
Mongolia,MNG,0.003423545,2010
Montenegro,MNE,0.205149892,2010
Morocco,MAR,-0.768074878,2010
Mozambique,MOZ,-0.118705396,2010
Myanmar,MMR,-2.093576672,2010
Namibia,NAM,0.334749175,2010
Nauru,NRU,1.040371507,2010
Nepal,NPL,-0.532699226,2010
Netherlands,NLD,1.494248622,2010
Netherlands Antilles,ANT,0.371724795,2010
New Caledonia,NCL,,2010
New Zealand,NZL,1.526187897,2010
Nicaragua,NIC,-0.478796469,2010
Niger,NER,-0.564067148,2010
Nigeria,NGA,-0.823209842,2010
Niue,NIU,-0.302221067,2010
Norway,NOR,1.61824672,2010
Oman,OMN,-1.051378986,2010
Pakistan,PAK,-0.81606361,2010
Palau,PLW,1.240716348,2010
Panama,PAN,0.479656429,2010
Papua New Guinea,PNG,0.072118584,2010
Paraguay,PRY,-0.129113535,2010
Peru,PER,0.032625416,2010
Philippines,PHL,-0.092479687,2010
Poland,POL,1.03283888,2010
Portugal,PRT,1.123216941,2010
Puerto Rico,PRI,0.917671059,2010
Qatar,QAT,-0.965953943,2010
Reunion,REU,1.238074856,2010
Romania,ROM,0.44657546,2010
Russian Federation,RUS,-0.944565267,2010
Rwanda,RWA,-1.334928663,2010
Samoa,WSM,0.462873445,2010
San Marino,SMR,1.197785311,2010
Sao Tome and Principe,STP,0.134591284,2010
Saudi Arabia,SAU,-1.76825581,2010
Senegal,SEN,-0.314938919,2010
Serbia,SRB,0.2908976,2010
Seychelles,SYC,0.115106506,2010
Sierra Leone,SLE,-0.175742974,2010
Singapore,SGP,-0.292019348,2010
Slovak Republic,SVK,0.89131165,2010
Slovenia,SVN,1.016768722,2010
Solomon Islands,SLB,0.116545318,2010
Somalia,SOM,-2.002342798,2010
South Africa,ZAF,0.526359485,2010
Spain,ESP,1.140779169,2010
Sri Lanka,LKA,-0.508452918,2010
St. Kitts and Nevis,KNA,1.115862325,2010
St. Lucia,LCA,1.244675442,2010
St. Vincent and the Grenadines,VCT,1.175177442,2010
Sudan,SDN,-1.705422862,2010
Suriname,SUR,0.374773073,2010
Swaziland,SWZ,-1.26796633,2010
Sweden,SWE,1.582521057,2010
Switzerland,CHE,1.616725382,2010
Syrian Arab Republic,SYR,-1.6764388,2010
"Taiwan, China",TWN,0.90057963,2010
Tajikistan,TJK,-1.356045082,2010
Tanzania,TZA,-0.09658169,2010
Thailand,THA,-0.557818988,2010
Timor-Leste,TMP,0.022240803,2010
Togo,TGO,-0.965467744,2010
Tonga,TON,0.295837867,2010
Trinidad and Tobago,TTO,0.521624251,2010
Tunisia,TUN,-1.344742541,2010
Turkey,TUR,-0.159287114,2010
Turkmenistan,TKM,-2.028598932,2010
Tuvalu,TUV,0.747762562,2010
Uganda,UGA,-0.477388701,2010
Ukraine,UKR,-0.147612723,2010
United Arab Emirates,ARE,-0.888482384,2010
United Kingdom,GBR,1.312851012,2010
United States,USA,1.16180876,2010
Uruguay,URY,1.144977767,2010
Uzbekistan,UZB,-2.017187912,2010
Vanuatu,VUT,0.500705569,2010
"Venezuela, RB",VEN,-0.905276767,2010
Vietnam,VNM,-1.430262315,2010
Virgin Islands (U.S.),VIR,0.804899826,2010
West Bank and Gaza,WBG,-0.853158099,2010
"Yemen, Rep.",YEM,-1.28170825,2010
Zambia,ZMB,-0.264282424,2010
Zimbabwe,ZWE,-1.4879177,2010